data_pozyskania,zestawienie_zrodel_ciepla,liczba_budynkow,udzial_procentowy
2026-05-05,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1579554,25.11
2026-05-05,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1056708,16.8
2026-05-05,DANE DO WERYFIKACJI,85480,1.36
2026-05-05,Dane do weryfikacji,85480,1.36
2026-05-05,kocioł automatyczny kl. 5 lub ekoprojekt,461060,7.33
2026-05-05,kocioł gazowy,1202195,19.11
2026-05-05,kocioł kl. 3 lub kl. 4,778818,12.38
2026-05-05,kocioł olejowy,32655,0.52
2026-05-05,kocioł pozaklasowy,1134438,18.03
2026-05-05,kocioł zasypowy kl. 5 lub ekoprojekt,143780,2.29
2026-05-05,miejska sieć ciepłownicza,40051,0.64
2026-05-05,mix źródeł bezemisyjnych,2423,0.04
2026-05-05,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24606,0.39
2026-05-05,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309650,4.92
2026-05-05,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84561,1.34
2026-05-05,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112237,1.78
2026-05-05,mix źródeł niskoemisyjnych,982,0.02
2026-05-05,ogrzewacz na paliwo stałe,545448,8.67
2026-05-05,ogrzewanie elektryczne,57906,0.92
2026-05-05,pompa ciepła,218736,3.48
2026-05-05,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33132,0.53
2026-05-05,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208610,3.32
2026-05-05,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66249,1.05
2026-05-05,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,748717,11.9
2026-05-15,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569632,56.71
2026-05-15,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1581084,25.12
2026-05-15,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1057830,16.81
2026-05-15,DANE DO WERYFIKACJI,85767,1.36
2026-05-15,Dane do weryfikacji,85767,1.36
2026-05-15,kocioł automatyczny kl. 5 lub ekoprojekt,461745,7.34
2026-05-15,kocioł gazowy,1203089,19.11
2026-05-15,kocioł kl. 3 lub kl. 4,778287,12.36
2026-05-15,kocioł olejowy,32635,0.52
2026-05-15,kocioł pozaklasowy,1133741,18.01
2026-05-15,kocioł zasypowy kl. 5 lub ekoprojekt,143967,2.29
2026-05-15,miejska sieć ciepłownicza,40082,0.64
2026-05-15,mix źródeł bezemisyjnych,2433,0.04
2026-05-15,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24649,0.39
2026-05-15,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309474,4.92
2026-05-15,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84702,1.35
2026-05-15,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112167,1.78
2026-05-15,mix źródeł niskoemisyjnych,981,0.02
2026-05-15,ogrzewacz na paliwo stałe,545549,8.67
2026-05-15,ogrzewanie elektryczne,57972,0.92
2026-05-15,pompa ciepła,219243,3.48
2026-05-15,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33221,0.53
2026-05-15,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208688,3.32
2026-05-15,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66263,1.05
2026-05-15,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,749658,11.91
2026-05-16,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569586,56.71
2026-05-16,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1581241,25.12
2026-05-16,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1057923,16.81
2026-05-16,DANE DO WERYFIKACJI,85790,1.36
2026-05-16,Dane do weryfikacji,85790,1.36
2026-05-16,kocioł automatyczny kl. 5 lub ekoprojekt,461820,7.34
2026-05-16,kocioł gazowy,1203178,19.11
2026-05-16,kocioł kl. 3 lub kl. 4,778248,12.36
2026-05-16,kocioł olejowy,32632,0.52
2026-05-16,kocioł pozaklasowy,1133653,18.01
2026-05-16,kocioł zasypowy kl. 5 lub ekoprojekt,143986,2.29
2026-05-16,miejska sieć ciepłownicza,40080,0.64
2026-05-16,mix źródeł bezemisyjnych,2435,0.04
2026-05-16,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24653,0.39
2026-05-16,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309446,4.92
2026-05-16,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84722,1.35
2026-05-16,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112158,1.78
2026-05-16,mix źródeł niskoemisyjnych,981,0.02
2026-05-16,ogrzewacz na paliwo stałe,545553,8.67
2026-05-16,ogrzewanie elektryczne,57981,0.92
2026-05-16,pompa ciepła,219301,3.48
2026-05-16,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33232,0.53
2026-05-16,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208694,3.32
2026-05-16,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66266,1.05
2026-05-16,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,749731,11.91
2026-05-18,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569587,56.71
2026-05-18,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1581276,25.12
2026-05-18,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1058018,16.81
2026-05-18,DANE DO WERYFIKACJI,85834,1.36
2026-05-18,Dane do weryfikacji,85834,1.36
2026-05-18,kocioł automatyczny kl. 5 lub ekoprojekt,461845,7.34
2026-05-18,kocioł gazowy,1203192,19.11
2026-05-18,kocioł kl. 3 lub kl. 4,778241,12.36
2026-05-18,kocioł olejowy,32630,0.52
2026-05-18,kocioł pozaklasowy,1133619,18.01
2026-05-18,kocioł zasypowy kl. 5 lub ekoprojekt,143997,2.29
2026-05-18,miejska sieć ciepłownicza,40084,0.64
2026-05-18,mix źródeł bezemisyjnych,2435,0.04
2026-05-18,mix źródeł bezemisyjnych + źródeł niskoemisyjnych,24660,0.39
2026-05-18,mix źródeł na paliwa stałe 1 (kocioł pozaklasowy + ogrzewacz),309442,4.92
2026-05-18,mix źródeł na paliwa stałe 2 (w tym kocioł kl. 5 lub ekoprojekt),84728,1.35
2026-05-18,mix źródeł na paliwa stałe 3 (pozostałe przypadki),112148,1.78
2026-05-18,mix źródeł niskoemisyjnych,981,0.02
2026-05-18,ogrzewacz na paliwo stałe,545567,8.67
2026-05-18,ogrzewanie elektryczne,57979,0.92
2026-05-18,pompa ciepła,219315,3.48
2026-05-18,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł kl. 5 lub ekoprojekt,33233,0.53
2026-05-18,źródła c.o. niskoemisyjne lub bezemisyjne + kocioł poniżej klasy 5,208698,3.32
2026-05-18,źródła c.o. niskoemisyjne lub bezemisyjne + mix źródeł na paliwa stałe,66274,1.05
2026-05-18,źródła c.o. niskoemisyjne lub bezemisyjne + ogrzewacz na paliwa stałe,749813,11.91
2026-05-20,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NA PALIWA STAŁE,3569453,56.7
2026-05-20,BUDYNKI WYŁĄCZNIE ZE ŹRÓDŁAMI CIEPŁA NISKOEMISYJNYMI / BEZEMISYJNYMI,1581662,25.12
2026-05-20,BUDYNKI ZE ŹRÓDŁAMI NA PALIWA STAŁE ORAZ NISKOEMISYJNYMI / BEZEMISYJNYMI,1058253,16.81
2026-05-20,DANE DO WERYFIKACJI,85907,1.36
2026-05-20,Dane do weryfikacji,85907,1.36
2026-05-20,kocioł automatyczny kl. 5 lub ekoprojekt,462022,7.34
